,string_length,encryption_times,decryption_times
0,32,0.07527809999999135,0.07461749999998801
1,64,7.639999998332314e-05,2.2699999988162745e-05
2,128,7.66999999939344e-05,2.3200000015322075e-05
3,256,7.560000000239597e-05,2.3499999997511622e-05
4,512,7.969999998636013e-05,2.4099999990312426e-05
5,1024,8.339999999407155e-05,2.429999997843879e-05
6,2048,8.270000000720756e-05,2.8099999980213397e-05
7,4096,9.579999999687061e-05,3.119999999512402e-05
8,8192,0.00010080000001266853,3.9099999980862776e-05
9,16384,0.00011950000001093031,4.680000000689688e-05
10,32768,0.0001527000000010048,6.97000000116077e-05
11,65536,0.00021449999999845204,0.00012879999999881875
12,131072,0.00036910000000034415,0.00020290000000500186
13,262144,0.0006282999999882577,0.00037800000001197986
14,524288,0.0012343999999870903,0.000885100000004968
15,1048576,0.003082599999999047,0.002623099999993883
16,2097152,0.006299900000016123,0.005302799999981289
17,4194304,0.012453700000008894,0.01129720000000134
18,8388608,0.024946900000003325,0.022731600000014396
19,16777216,0.050534700000014254,0.04831590000000574
20,33554432,0.10363899999998694,0.08930209999999761
21,67108864,0.1956508000000099,0.17886109999997757
22,134217728,0.39953669999999875,0.35247179999998934
23,268435456,0.7815118000000041,0.7152432999999974
24,536870912,1.5537590000000137,1.4344476999999927
25,1073741824,3.1589308000000074,2.911625000000015
