,string_length,encryption_times,decryption_times
0,32,0.07439299999998639,0.07391830000000255
1,64,9.000000000014552e-05,2.7499999987412593e-05
2,128,8.030000000758264e-05,2.609999998526291e-05
3,256,8.300000001781882e-05,2.7600000009897485e-05
4,512,7.709999999860884e-05,2.7100000011159864e-05
5,1024,7.830000001263215e-05,2.830000002518318e-05
6,2048,8.529999999495885e-05,3.050000000826003e-05
7,4096,8.87999999861222e-05,3.31999999900745e-05
8,8192,9.77999999918211e-05,4.020000000082291e-05
9,16384,0.0001226999999914824,4.770000001030894e-05
10,32768,0.00014600000000086766,6.510000000048421e-05
11,65536,0.00019360000001711342,0.00011610000001383014
12,131072,0.0003216000000065833,0.00027259999998818785
13,262144,0.00038380000000870496,0.0003845999999896321
14,524288,0.0011359000000084052,0.0008564000000035321
15,1048576,0.002512899999999263,0.002433899999999767
16,2097152,0.005358999999998559,0.004800499999987551
17,4194304,0.010403699999983473,0.010125499999986687
18,8388608,0.021032399999995732,0.02044380000000956
19,16777216,0.04258740000000216,0.04172619999999938
20,33554432,0.0838175000000092,0.08194260000001918
21,67108864,0.16212880000000496,0.16019750000000954
22,134217728,0.3188876000000107,0.3204657999999938
23,268435456,0.638632599999994,0.6436428000000092
24,536870912,1.2835938000000056,1.2889701000000002
25,1073741824,2.5518622000000164,2.574430800000016
