,string_length,encryption_times,decryption_times
0,32,0.00016990000000016714,2.8099999999975367e-05
1,64,7.599999999996498e-05,2.250000000003638e-05
2,128,8.610000000008888e-05,2.469999999998862e-05
3,256,7.320000000010651e-05,2.1300000000001873e-05
4,512,9.48000000000615e-05,2.2100000000024878e-05
5,1024,8.800000000008801e-05,2.3700000000070887e-05
6,2048,8.81000000001464e-05,2.469999999998862e-05
7,4096,8.109999999983408e-05,2.5300000000116896e-05
8,8192,8.140000000000924e-05,3.0200000000091265e-05
9,16384,0.00011249999999995985,3.1800000000137274e-05
10,32768,0.00012199999999995548,4.019999999993473e-05
11,65536,0.00018359999999995047,7.380000000001274e-05
12,131072,0.00022009999999994534,6.879999999997999e-05
13,262144,0.00030589999999985906,0.00019199999999996997
14,524288,0.0008164999999999978,0.0007355999999998364
15,1048576,0.001779799999999998,0.001615499999999992
16,2097152,0.003413699999999853,0.002983500000000028
17,4194304,0.0070752999999998956,0.006812499999999888
18,8388608,0.015421399999999919,0.013940499999999911
19,16777216,0.029791299999999854,0.028178000000000036
20,33554432,0.06045909999999988,0.05859130000000001
21,67108864,0.11742509999999995,0.1167106
22,134217728,0.23308609999999996,0.23125680000000015
23,268435456,0.47862059999999973,0.4736704999999999
24,536870912,0.9934652000000002,1.1816937999999997
25,1073741824,2.2797320999999995,1.9879476
