,string_length,encryption_times,decryption_times
0,32,0.07616609999996626,0.07727099999999609
1,64,8.040000000164582e-05,2.380000000812288e-05
2,128,7.480000004989051e-05,2.419999998437561e-05
3,256,9.979999998677158e-05,2.7499999987412593e-05
4,512,7.699999997612395e-05,2.419999998437561e-05
5,1024,7.350000004180401e-05,2.7100000011159864e-05
6,2048,8.470000000215805e-05,2.7900000020508742e-05
7,4096,8.170000000973232e-05,3.090000001293447e-05
8,8192,0.0001226999999630607,3.970000000208529e-05
9,16384,0.0001193999999600237,5.730000003723035e-05
10,32768,0.00018840000001318913,8.399999995845064e-05
11,65536,0.0002277000000390217,0.0001522000000022672
12,131072,0.000395699999955923,0.00024650000000292493
13,262144,0.0006599999999821193,0.0005344999999579159
14,524288,0.0015511999999944237,0.0012374000000363594
15,1048576,0.0031448000000295906,0.0030482999999890126
16,2097152,0.0066204999999968095,0.006847400000026482
17,4194304,0.013470700000027591,0.013701000000025942
18,8388608,0.027283099999976912,0.02599720000000616
19,16777216,0.053627099999971506,0.05277000000000953
20,33554432,0.10669190000004392,0.10167480000001206
21,67108864,0.20763260000001083,0.20627630000001318
22,134217728,0.4254491000000371,0.41109340000002703
23,268435456,0.84188869999997,0.8407624999999825
24,536870912,1.6728398999999854,1.630935500000021
25,1073741824,3.310198700000001,3.2728856999999607
