,string_length,encryption_times,decryption_times,slow_decryption_times
0,32,0.006307100000000787,0.0007851000000016484,0.00010280000000761902
1,64,0.00016879999999730444,0.0005874000000005708,0.00011349999999765714
2,128,0.00024949999999535066,0.0008710000000036189,0.0001965000000012651
3,256,0.00037980000000459313,0.0014487000000116268,0.00040339999999616794
4,512,0.0006628000000006296,0.0025258000000007996,0.0006145000000117307
5,1024,0.0012197999999870035,0.004889699999992558,0.0011709000000053038
6,2048,0.002356899999995221,0.009309399999992252,0.0022950000000037107
7,4096,0.004674699999995369,0.018527199999994082,0.004546099999998887
8,8192,0.009590500000001612,0.03531579999999224,0.009051599999992277
9,16384,0.018273800000002893,0.07924129999999252,0.01925970000000632
10,32768,0.03848729999999989,0.1493871999999925,0.036176900000000956
11,65536,0.07639539999999556,0.2905748000000017,0.0761771999999894
12,131072,0.15383119999999906,0.6369775000000004,0.14889300000000105
13,262144,0.3019113999999945,1.2075075999999996,0.29218529999999987
14,524288,0.6051783999999998,2.653520499999999,0.5884768000000093
15,1048576,1.2009689000000066,5.0429419999999965,1.1845201000000003
16,2097152,2.4142282999999907,10.598118600000006,2.402409999999989
17,4194304,4.767640400000005,21.60833869999999,4.797600899999992
18,8388608,-,-,-
19,16777216,-,-,-
20,33554432,-,-,-
21,67108864,-,-,-
22,134217728,-,-,-
23,268435456,-,-,-
24,536870912,-,-,-
25,1073741824,-,-,-
