,string_length,encryption_times,decryption_times
0,32,0.008871400000000085,0.0006469999999998421
1,64,0.0011536999999999242,0.0006764999999999688
2,128,0.0012480999999999742,0.0011191999999999869
3,256,0.0015023000000000675,0.0013091999999998993
4,512,0.0027664000000000577,0.002360300000000093
5,1024,0.004881599999999819,0.00443109999999991
6,2048,0.009368399999999832,0.008709499999999704
7,4096,0.017643500000000145,0.025493200000000105
8,8192,0.033687400000000256,0.033031299999999764
9,16384,0.09527160000000023,0.10121499999999983
10,32768,0.18279889999999988,0.13415290000000013
11,65536,0.3707623,0.30262940000000027
12,131072,0.8247790999999998,0.5924382999999995
13,262144,1.1914741000000006,1.0889614000000005
14,524288,2.6299243,1.9949724
15,1048576,5.119488100000002,5.528268499999999
16,2097152,10.025119299999997,10.453060099999995
17,4194304,20.5001392,20.952152700000006
18,8388608,-,-
19,16777216,-,-
20,33554432,-,-
21,67108864,-,-
22,134217728,-,-
23,268435456,-,-
24,536870912,-,-
25,1073741824,-,-
