,string_length,encryption_times,slow_encryption_times,decryption_times,slow_decryption_times
0,32,0.0002445999998599291,0.09863690000020142,0.00020670000003519817,0.0049227999998038285
1,64,0.00031829999988985946,0.00013559999979406712,0.00029469999981301953,5.2800000048591755e-05
2,128,0.0004878999998254585,0.00014910000027157366,0.0004040000003442401,9.009999985210015e-05
3,256,0.0009108999997806677,0.00023580000015499536,0.0006836000002294895,0.00016849999974510865
4,512,0.001285700000153156,0.00038949999998294516,0.001315200000135519,0.0003285000002506422
5,1024,0.0026352999998380255,0.0007098999999470834,0.0025922999998329033,0.0006444999999075662
6,2048,0.0048309999997400155,0.001340999999683845,0.00463209999998071,0.0012811999999939871
7,4096,0.009510799999588926,0.002598900000066351,0.009428299999854062,0.0025359999999636784
8,8192,0.018523199999890494,0.005276100000173756,0.01876479999964431,0.005143400000179099
9,16384,0.03688849999980448,0.010185699999965436,0.03893680000010136,0.01004510000029768
10,32768,0.07806889999983468,0.020394800000303803,0.07553569999981846,0.021702499999719294
11,65536,0.15956240000014077,0.04044260000000577,0.1520764000001691,0.040334400000119786
12,131072,0.3904864000000998,0.08096450000039113,0.3150197999998454,0.08055990000002566
13,262144,0.9738187999996626,0.16351769999982935,0.7060801000002357,0.1630801999999676
14,524288,1.5159103000000869,0.32621700000026976,1.648018299999876,0.3249397000004137
15,1048576,3.522071800000049,0.6535079999998743,2.897881200000029,0.6539262999999664
16,2097152,7.082394500000191,1.3021868999999242,6.798157400000036,1.2951887000003808
17,4194304,14.04121750000013,2.607484200000272,12.763483400000041,2.6157875000003514
18,8388608,27.6984566000001,5.227823799999896,26.68778979999979,5.224175500000001
19,16777216,-,-,-,-
20,33554432,-,-,-,-
21,67108864,-,-,-,-
22,134217728,-,-,-,-
23,268435456,-,-,-,-
24,536870912,-,-,-,-
25,1073741824,-,-,-,-
