,string_length,encryption_times,decryption_times
0,32,0.0769430000000284,0.07702470000003814
1,64,0.0006811000000652712,0.0003885999999511114
2,128,0.0007282999999915774,0.00041379999993296224
3,256,0.0007252000000335102,0.0007372999998551677
4,512,0.00126719999980196,0.0011194999999588617
5,1024,0.0025948999998490763,0.0020137999999860767
6,2048,0.004588700000113022,0.004143500000054701
7,4096,0.009185399999978472,0.008236499999838998
8,8192,0.017983800000138217,0.016530800000055024
9,16384,0.06809500000008484,0.033312000000023545
10,32768,0.13365299999986746,0.06753159999993841
11,65536,0.22563639999998486,0.27260019999994256
12,131072,0.3582318999999643,0.4836462999999185
13,262144,0.8239270999999917,0.8211722999999438
14,524288,1.5425955999999132,1.5305594999999812
15,1048576,2.9895621999999094,3.2587459999999737
16,2097152,6.550183099999913,6.0753789000000324
17,4194304,13.019244999999955,11.220611199999894
18,8388608,23.691946400000006,21.772659400000066
19,16777216,-,-
20,33554432,-,-
21,67108864,-,-
22,134217728,-,-
23,268435456,-,-
24,536870912,-,-
25,1073741824,-,-
