,string_length,encryption_times,decryption_times
0,32,0.012331899999935558,0.0006376000001182547
1,64,0.00010560000009718351,3.979999974035309e-05
2,128,0.00012710000009974465,6.759999996575061e-05
3,256,0.00018469999986336916,0.00012570000035339035
4,512,0.0003044000000045344,0.0002471999996487284
5,1024,0.0005412000000433181,0.0004911999999421823
6,2048,0.0011220999999750347,0.0010538999999880616
7,4096,0.001908700000058161,0.001838200000293
8,8192,0.0036984999997002888,0.003615200000240293
9,16384,0.007353799999691546,0.0072611000000506465
10,32768,0.014787900000101217,0.014746800000011717
11,65536,0.02966050000031828,0.029333999999835214
12,131072,0.06024149999984729,0.058996100000058505
13,262144,0.11950449999994817,0.11890450000009878
14,524288,0.23732479999989664,0.23597529999960898
15,1048576,0.4865677000002506,0.4760756999999103
16,2097152,0.9518714999999247,0.9522640000000138
17,4194304,1.900397299999895,1.9015220999999656
18,8388608,3.8281882999999652,3.808281000000079
19,16777216,7.598801500000263,7.584208600000238
20,33554432,15.2161229000003,15.232872600000064
21,67108864,30.46834889999991,30.505928699999913
22,134217728,-,-
23,268435456,-,-
24,536870912,-,-
25,1073741824,-,-
