,string_length,encryption_times,decryption_times
0,32,0.07278230000000008,0.0759091999999999
1,64,0.00013519999999900278,6.160000000043908e-05
2,128,0.00013299999999993872,6.4000000000064e-05
3,256,0.00012989999999923896,6.85000000011371e-05
4,512,0.00014460000000049433,7.519999999949789e-05
5,1024,0.00017079999999936035,8.85999999997722e-05
6,2048,0.00018389999999968154,0.00012059999999891602
7,4096,0.00026130000000001985,0.0001792999999992162
8,8192,0.0003800999999992172,0.0002981000000001899
9,16384,0.0006035999999998154,0.0005154999999987808
10,32768,0.001062700000000305,0.0009560999999997932
11,65536,0.001991300000000251,0.0018776000000002568
12,131072,0.0038605000000000445,0.0036578000000009325
13,262144,0.007616900000000371,0.0072478000000000264
14,524288,0.01520559999999982,0.014692600000000056
15,1048576,0.03074340000000042,0.02997030000000045
16,2097152,0.06175499999999978,0.05995109999999926
17,4194304,0.12237770000000125,0.11923330000000121
18,8388608,0.2438672999999998,0.2438336999999997
19,16777216,0.4903788999999996,0.4807047999999998
20,33554432,0.9796683999999996,0.959617999999999
21,67108864,1.9586261999999994,1.9226460999999997
22,134217728,3.9224393000000006,3.8465951999999994
23,268435456,7.839059600000002,7.697562099999999
24,536870912,15.689641299999998,15.389886799999992
25,1073741824,31.407328199999995,30.7975979
