,string_length,encryption_times,decryption_times
0,32,0.07408220000002075,0.0758427999999185
1,64,0.00014769999984309834,7.329999993999081e-05
2,128,0.0001532999999653839,8.700000012140663e-05
3,256,0.00018619999991642544,0.00011530000006132468
4,512,0.0002546999999140098,0.0001742000001740962
5,1024,0.0003538000000844477,0.0002832000000125845
6,2048,0.0005722999999306921,0.0005036999998537794
7,4096,0.0010115000000041618,0.0009474999999383726
8,8192,0.0019027000000733096,0.0018435999998018815
9,16384,0.0036561000001711363,0.0035833000001730397
10,32768,0.007225199999993492,0.007155099999863523
11,65536,0.014255000000048312,0.014179799999965326
12,131072,0.028366600000026665,0.028267000000141707
13,262144,0.057029800000009345,0.0565308999998706
14,524288,0.1132814000000053,0.11294530000009217
15,1048576,0.227141999999958,0.2270266000000447
16,2097152,0.4546867999999904,0.4540918000000147
17,4194304,0.9082003000000896,0.9104574000000412
18,8388608,1.8190567999999985,1.8156355000000985
19,16777216,3.6393249000000196,3.6318054000000757
20,33554432,7.276429100000087,7.270301199999949
21,67108864,14.541746399999965,14.541739100000086
22,134217728,29.116118500000084,29.08595330000003
23,268435456,-,-
24,536870912,-,-
25,1073741824,-,-
