,string_length,encryption_times,decryption_times
0,32,0.07584659999997712,0.0769686000001002
1,64,0.00015630000007149647,7.980000009411015e-05
2,128,0.00015450000000782893,8.130000014716643e-05
3,256,0.00016540000001441513,8.649999995213875e-05
4,512,0.0001667999999881431,9.249999993699021e-05
5,1024,0.00017989999992096273,0.00010700000007091148
6,2048,0.00020849999987149204,0.000136099999963335
7,4096,0.0002615000000787404,0.00019240000005993352
8,8192,0.0003773000000819593,0.000303299999814044
9,16384,0.000605100000029779,0.0005264999999781139
10,32768,0.0010438000001613545,0.0009709999999358843
11,65536,0.0019310000000132277,0.0018620999999257037
12,131072,0.0037419000000227243,0.003652699999975084
13,262144,0.0073709999999209685,0.007370799999989686
14,524288,0.014414099999839891,0.014335599999867554
15,1048576,0.029764500000055705,0.029692100000147548
16,2097152,0.059465499999987514,0.059544899999991685
17,4194304,0.11951030000000173,0.12142979999998715
18,8388608,0.23821720000000823,0.23789370000008603
19,16777216,0.47650990000011006,0.4762213999999858
20,33554432,0.9529641000001448,0.9543069999999716
21,67108864,1.9063916000000063,1.9089132999999947
22,134217728,3.812678900000037,3.820274100000006
23,268435456,7.63974189999999,7.640819300000203
24,536870912,15.282934699999942,15.301102899999933
25,1073741824,30.559104099999786,30.634598000000096
