,string_length,encryption_times,decryption_times
0,32,0.00012609999999990684,2.8699999999881598e-05
1,64,7.380000000001274e-05,2.2100000000024878e-05
2,128,7.109999999999062e-05,2.159999999995499e-05
3,256,8.249999999998536e-05,2.269999999993111e-05
4,512,7.599999999996498e-05,0.00011660000000013326
5,1024,9.329999999985183e-05,2.4299999999977118e-05
6,2048,7.859999999992873e-05,2.3999999999801958e-05
7,4096,8.859999999999424e-05,2.5100000000000122e-05
8,8192,7.829999999997561e-05,2.599999999985947e-05
9,16384,0.00010439999999989347,2.9499999999904603e-05
10,32768,0.00011709999999998111,3.489999999994886e-05
11,65536,0.00014639999999999098,6.449999999991185e-05
12,131072,0.00019959999999996647,6.989999999995611e-05
13,262144,0.0002922999999999121,0.00018380000000006724
14,524288,0.0006896999999999043,0.0007520999999999223
15,1048576,0.0017807000000000794,0.0016110999999998654
16,2097152,0.0033103999999999356,0.0030844999999999345
17,4194304,0.006350000000000078,0.006013800000000069
18,8388608,0.013923499999999978,0.013248399999999938
19,16777216,0.028401699999999863,0.02755250000000009
20,33554432,0.05813189999999979,0.05603329999999973
21,67108864,0.11521929999999969,0.11672689999999974
22,134217728,0.23125289999999987,0.2260643
23,268435456,0.4546465999999998,0.4533193999999998
24,536870912,0.9270792999999999,0.9669201000000003
25,1073741824,1.8647650999999996,1.8803289999999997
