,string_length,encryption_times,decryption_times
0,32,0.009848500000089189,0.009927100000140854
1,64,0.00013699999999516876,7.449999998243584e-05
2,128,0.00014079999982641311,7.640000012543169e-05
3,256,0.0001459999998587591,7.929999992484227e-05
4,512,0.0001548000000184402,8.809999985714967e-05
5,1024,0.00016660000005686015,0.00010149999980058055
6,2048,0.00019670000006044575,0.00013020000005781185
7,4096,0.00025340000001961016,0.00018739999995887047
8,8192,0.00037539999993896345,0.0003019000000676897
9,16384,0.000638999999864609,0.0005338000000847387
10,32768,0.0010804999999436404,0.0009820000000217988
11,65536,0.001994800000147734,0.0019223000001602486
12,131072,0.0040971000000809,0.0037757000000055996
13,262144,0.007597799999985,0.007313099999919359
14,524288,0.01510769999981676,0.014646999999968102
15,1048576,0.030289000000038868,0.030175300000109928
16,2097152,0.06145349999997052,0.06015550000006442
17,4194304,0.12134409999998752,0.12173890000008214
18,8388608,0.24492919999988771,0.24245049999990442
19,16777216,0.48477230000003146,0.483315599999969
20,33554432,0.9702861000000667,0.9687251000000288
21,67108864,1.9415312000000995,1.9431644999999662
22,134217728,3.8786744999999883,3.874106299999994
23,268435456,7.761732200000097,7.761039499999924
24,536870912,15.510920499999884,15.536602900000162
25,1073741824,31.030003100000158,31.065297800000053
