,string_length,encyption_times,decryption_times
0,32,0.000002,0.000001
1,64,0.000002,0.000001
2,128,0.000002,0.000001
3,256,0.000003,0.000002
4,512,0.000003,0.000003
5,1024,0.000005,0.000005
6,2048,0.000008,0.000008
7,4096,0.000014,0.000015
8,8192,0.000026,0.000032
9,16384,0.000052,0.000065
10,32768,0.000105,0.000132
11,65536,0.000210,0.000264
12,131072,0.000459,0.000543
13,262144,0.000919,0.001072
14,524288,0.001841,0.002124
15,1048576,0.003991,0.004514
16,2097152,0.007317,0.008493
17,4194304,0.014720,0.016996
18,8388608,0.029633,0.034015
19,16777216,0.059000,0.068142
20,33554432,0.117932,0.136742
21,67108864,0.235305,0.273715
22,134217728,0.471707,0.547225
23,268435456,0.944982,1.096055
24,536870912,1.885858,2.190657
25,1073741824,3.777750,4.379322
