,string_length,encyption_times,decryption_times
0,32,0.000002,0.000004
1,64,0.000001,0.000001
2,128,0.000001,0.000001
3,256,0.000001,0.000001
4,512,0.000002,0.000001
5,1024,0.000002,0.000001
6,2048,0.000003,0.000002
7,4096,0.000004,0.000002
8,8192,0.000008,0.000005
9,16384,0.000017,0.000012
10,32768,0.000035,0.000024
11,65536,0.000070,0.000050
12,131072,0.000181,0.000102
13,262144,0.000361,0.000204
14,524288,0.000722,0.000410
15,1048576,0.001462,0.000820
16,2097152,0.002912,0.001610
17,4194304,0.005939,0.003252
18,8388608,0.011835,0.006455
19,16777216,0.023477,0.012935
20,33554432,0.047141,0.026311
21,67108864,0.094088,0.053363
22,134217728,0.187888,0.107459
23,268435456,0.375553,0.215406
24,536870912,0.751915,0.432474
25,1073741824,1.507619,0.867633
