,string_length,encryption_times,decryption_times
0,32,9.1999999995096e-05,1.2500000025283953e-05
1,64,6.659999996827537e-05,1.3199999898461101e-05
2,128,6.229999996776314e-05,1.240000005964248e-05
3,256,6.570000005012844e-05,1.3500000022759195e-05
4,512,6.989999997131235e-05,1.4399999940906127e-05
5,1024,6.65000000026339e-05,1.6099999925245356e-05
6,2048,7.13999999106818e-05,2.040000003944442e-05
7,4096,8.700000000771979e-05,2.8400000019246363e-05
8,8192,9.310000007189956e-05,4.060000003391906e-05
9,16384,0.00011879999999564461,6.859999996322586e-05
10,32768,0.00017809999997098203,0.00012029999993501406
11,65536,0.0003118999999287553,0.00026479999996809056
12,131072,0.0005780999999842606,0.00043700000003354944
13,262144,0.001195999999936248,0.0011524999999892316
14,524288,0.0021601999999347754,0.001955100000031962
15,1048576,0.004680499999949461,0.004531199999973978
16,2097152,0.00929279999991195,0.00930330000005597
17,4194304,0.01893280000001596,0.018930700000055367
18,8388608,0.03751950000003035,0.038319700000101875
19,16777216,0.0753729000000476,0.07774719999997615
20,33554432,0.15273290000004636,0.15535190000002785
21,67108864,0.3018623000000389,0.3124928000000864
22,134217728,0.6032559000000219,0.6061666000000514
23,268435456,1.1809740999999576,1.1977672000000439
24,536870912,2.35853689999999,2.438366999999971
25,1073741824,4.777690200000052,4.873785099999964
