,string_length,encryption_times,decryption_times
0,32,0.0016173000003618654,1.4899999769113492e-05
1,64,6.649999977526022e-05,1.2299999980314169e-05
2,128,6.31999996585364e-05,1.2200000128359534e-05
3,256,6.170000006022747e-05,1.2999999853491317e-05
4,512,7.400000004054164e-05,1.5100000382517464e-05
5,1024,6.679999978587148e-05,1.540000039312872e-05
6,2048,6.970000004002941e-05,1.919999976962572e-05
7,4096,7.74000000092201e-05,2.5499999992462108e-05
8,8192,9.430000000065775e-05,3.879999985656468e-05
9,16384,0.023285199999918405,9.860000000116997e-05
10,32768,0.000204699999812874,0.0001297999997404986
11,65536,0.0003494000002319808,0.00023880000026110793
12,131072,0.0006263999998736836,0.0004656999999497202
13,262144,0.001130399999965448,0.0009375999998155748
14,524288,0.002186899999742309,0.001862500000243017
15,1048576,0.004625300000043353,0.004525599999851693
16,2097152,0.009164299999611103,0.009164999999939027
17,4194304,0.01865209999959916,0.01843269999972108
18,8388608,0.03767659999994066,0.0389697000000524
19,16777216,0.0754309000003559,0.07590360000040164
20,33554432,0.15023359999986496,0.1514486000000943
21,67108864,0.3003422000001592,0.3032218999996985
22,134217728,0.5995029999999133,0.6084687000002305
23,268435456,1.2012925999997606,1.2169575999996596
24,536870912,2.4050861999999142,2.496625600000243
25,1073741824,4.808339400000023,4.97235290000026
